Unique.ID,GBS,GH.Pos,Tube.No,Pod.Produced,Medic.spp,Range,Site.ID,Origin,Community,changed from MSU shipment name,MSU.Genotype,Generation.Received,WSU.Genotype,Planted,Flowered,flowertime,flowertime140,Lat,Long,Lat.Group,growthstage_13days,growthstage_26days,growthstagedifference,leafcount_13days,leafcount_26days,leafdifference,Seedling.Notes 4.22.16,NonPoly,Status
W0486,no,19,249,MSU,Mpol,Invaded,BHI,"Berkeley, CA, USA",,,BHI33-16,F1,MP-BHI33-16-F1,4/9/16,6/6/16,58,58,37.880417,-122.258565,3,4,7,3,0,3,3,,no,1
W0529,no,21,267,MSU,Mpol,Invaded,BHI,"Berkeley, CA, USA",,,BHI33-14,F1,MP-BHI33-14-F1,4/9/16,6/2/16,54,54,37.880417,-122.258565,3,4,7,3,0,3,3,,no,1
W0581,yes,22,371,MSU,Mpol,Invaded,BHI,"Berkeley, CA, USA",,,BHI33-11,F1,MP-BHI33-11-F1,4/9/16,6/2/16,54,54,37.880417,-122.258565,3,4,7,3,0,3,3,,no,1
W0610,no,23,632,Field,Mpol,Invaded,BHI,"Berkeley, CA, USA",,,BHI33-22,F0,MP-BHI33-22-F0,4/9/16,6/2/16,54,54,37.880417,-122.258565,3,4,7,3,0,3,3,,no,1
W0615,yes,24,77,MSU,Mpol,Invaded,BHI,"Berkeley, CA, USA",,,BHI33-12,F1,MP-BHI33-12-F1,4/9/16,6/2/16,54,54,37.880417,-122.258565,3,4,8,4,0,6,6,hairy,yes,1
W0696,yes,25,251,MSU,Mpol,Invaded,BHI,"Berkeley, CA, USA",,,BHI33-05,F1,MP-BHI33-05-F1,4/9/16,6/1/16,53,53,37.880417,-122.258565,3,5,8,3,1,6,5,,no,1
W0722,yes,26,22,MSU,Mpol,Invaded,BHI,"Berkeley, CA, USA",,,BHI33-01,F1,MP-BHI33-01-F1,4/9/16,6/6/16,58,58,37.880417,-122.258565,3,4,8,4,0,5,5,,no,1
W0767,no,27,219,MSU,Mpol,Invaded,BHI,"Berkeley, CA, USA",,,BHI33-18,F1,MP-BHI33-18-F1,4/9/16,6/6/16,58,58,37.880417,-122.258565,3,4,7,3,0,2,2,,no,1
W0801,yes,28,301,MSU,Mpol,Invaded,BHI,"Berkeley, CA, USA",,,BHI33-13,F1,MP-BHI33-13-F1,4/9/16,6/6/16,58,58,37.880417,-122.258565,3,5,8,3,1,6,5,,no,1
W0817,yes,29,73,MSU,Mpol,Invaded,BHI,"Berkeley, CA, USA",,,BHI33-07,F1,MP-BHI33-07-F1,4/9/16,6/6/16,58,58,37.880417,-122.258565,3,5,7,2,1,3,2,,no,1
