Well,Sample,Time,Weight,Replicate,Hour,PCheck,Plate,fileName,Absorbance,Protein,Range,Genotype,Site
E12,W0138,0,0.0204,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2612,119677.1961,Native,LDSc3-04,LDS
F01,W0600,0,0.019,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.3861,191464.8368,Native,NARc3-03,NAR
F02,W0600,0,0.019,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.3695,183095.8158,Native,NARc3-03,NAR
F03,W0600,0,0.019,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.3573,176945.0895,Native,NARc3-03,NAR
F04,W0140,0,0.0544,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.241,41322.04044,Native,HIG10-02,HIG
F05,W0140,0,0.0544,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2478,42519.41544,Native,HIG10-02,HIG
F06,W0140,0,0.0544,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.2537,43558.31434,Native,HIG10-02,HIG
F07,W0601,0,0.031,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.3895,118400.0161,Native,DEB28-03,DEB
F08,W0601,0,0.031,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.3997,121551.8161,Native,DEB28-03,DEB
F09,W0601,0,0.031,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.3907,118770.8161,Native,DEB28-03,DEB
F10,W0142,0,8.00E-04,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.386,4546092.5,Native,CAM20,CAM
F11,W0142,0,8.00E-04,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.3968,4675409,Native,CAM20,CAM
F12,W0142,0,8.00E-04,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.4211,4966371.125,Native,CAM20,CAM
G01,W0603,0,0.0102,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.298,273913.9216,Invasive,ARC27,ARC
G02,W0603,0,0.0102,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.308,283305.098,Invasive,ARC27,ARC
G03,W0603,0,0.0102,3,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.3068,282178.1569,Invasive,ARC27,ARC
G04,W0143,0,0.0153,1,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.4053,249787.4967,Invasive,PI368951,Chile3
G05,W0143,0,0.0153,2,0hr,Plate2.csv,Plate2,Plate2_0hr_17Feb2017,0.3966,244340.6144,Invasive,PI368951,Chile3
