"Sample","Site","Replicate","Genotype","Range","PPOHr0","PPOHr4","PPOHr24"
"W0167","ARC",2,"ARC28","Invasive",0.132644474606295,0.412724668120969,0.661894637055841
"W0167","ARC",3,"ARC28","Invasive",0.151106537446031,0.456940535271011,0.641853886172395
"W0168","NAR",1,"NARc3-03","Native",0.321682433474907,0.731107942799167,0.510156503633967
"W0168","NAR",2,"NARc3-03","Native",0.216003497180733,0.821456629203315,0.576199915950958
"W0168","NAR",3,"NARc3-03","Native",0.349932899760758,0.834460713626523,0.496000554403834
"W0419","CDC",1,"CDCc2-07-01","Native",0.1376966951501,1.05052610200047,0.19275143015845
"W0419","CDC",2,"CDCc2-07-01","Native",0.167864895518397,1.07485820266,0.169220932748257
"W0419","CDC",3,"CDCc2-07-01","Native",0.1376966951501,1.07485820266,0.189167196930636
"W0420","SAN",1,"SAN30-01","Native",0.544401919299595,3.41444260841218,-0.0497143786529634
"W0420","SAN",2,"SAN30-01","Native",0.471019373365571,3.41444260841218,-0.0233655489562119
"W0420","SAN",3,"SAN30-01","Native",0.50102162366937,3.42100000895834,-0.0281048943201084
"W0422","MUS",1,"MUSs2-06","Native",1.07020128683533,1.46787434811231,0.594955154380732
"W0422","MUS",2,"MUSs2-06","Native",0.982927889668646,1.42069578783722,0.612654731480132
"W0422","MUS",3,"MUSs2-06","Native",1.00777388825518,1.47247205736094,0.656513047380165
"W0423","HIG",1,"HIG13-02","Native",0.286260608104404,0.569768159399441,0.1792866530988
"W0423","HIG",2,"HIG13-02","Native",0.252996514463891,0.619039208406223,0.246860077931526
"W0423","HIG",3,"HIG13-02","Native",0.182952670730965,0.559615787935423,0.228221545541153
"W0424","LDS",1,"LDSc3-13","Native",0.340706540760001,0.62113301151622,0.642594901397114
"W0424","LDS",2,"LDSc3-13","Native",0.368486104867077,0.609350842817959,0.693147180559945
"W0424","LDS",3,"LDSc3-13","Native",0.385464441401495,0.612309424857705,0.681340667972956
"W0425","NAR",1,"NARc3-05","Native",0.870353636687131,1.38027628879433,0.518511147850821
"W0425","NAR",2,"NARc3-05","Native",0.936493439191676,1.40019726628888,0.593376026814995
"W0425","NAR",3,"NARc3-05","Native",0.990981624475745,1.41779302817926,0.563423704531644
"W0426","DEB",1,"DEB32","Native",0.174685282268966,0.859824120206386,0.702099791832059
"W0426","DEB",2,"DEB32","Native",0.188526333680838,0.80874919026997,0.728486547005256
"W0426","DEB",3,"DEB32","Native",0.185083989489865,0.783692610432631,0.696737848690676
"W0476","DEB",1,"DEB32-02","Native",0.946504510470653,0.299870153344821,0.656557733127654
"W0476","DEB",2,"DEB32-02","Native",0.88766401044772,0.298697132682458,0.658109323819072
"W0476","DEB",3,"DEB32-02","Native",0.988468709569685,0.313840112785022,0.66429172372739
"W0478","SAN",1,"SAN31-01","Native",3.09104245335832,0.505254578716535,0.325601307314075
"W0478","SAN",2,"SAN31-01","Native",2.9400433676934,0.568395475587468,0.339458341975501
"W0478","SAN",3,"SAN31-01","Native",2.94881535376624,0.550758334101362,0.338310894919024
"W0479","CDC",1,"CDCc2-09","Native",0.745106919490658,0.685496033824425,0.454451216238251
"W0479","CDC",2,"CDCc2-09","Native",0.741937344729377,0.676236708411629,0.488352767913932
"W0479","CDC",3,"CDCc2-09","Native",0.886518573540486,0.630233355149376,0.420981956798849
"W0480","HIG",1,"HIG15-02","Native",0.384966586559823,1.16119577496988,0.54016952139505
"W0480","HIG",2,"HIG15-02","Native",0.448024722526961,1.16510202993694,0.544847892501151
"W0480","HIG",3,"HIG15-02","Native",0.425551866674901,1.15530763234465,0.544847892501151
"W0513","CDC",1,"CDCc2-06-02","Native",2.05179001034933,0.573942680556184,1.03059076257079
"W0513","CDC",2,"CDCc2-06-02","Native",1.7887245655329,0.603377181131236,1.02083458762542
"W0513","CDC",3,"CDCc2-06-02","Native",1.85629799036563,0.571093675780109,1.04504884574602
"W0514","HIG",1,"HIG13-01","Native",1.14108971693523,1.07840958135059,1.08373422464193
"W0514","HIG",2,"HIG13-01","Native",1.15423544614773,1.07976920086663,1.09650035546497
"W0514","HIG",3,"HIG13-01","Native",1.13540249781464,1.07021281414641,1.07296985805477
"W0515","NAR",1,"NARc3-05","Native",0.7390391738166,0.575607305998985,1.03050086280896
"W0515","NAR",2,"NARc3-05","Native",0.772764808524636,0.592961320692136,1.06300643321389
"W0515","NAR",3,"NARc3-05","Native",0.782917179988653,0.612131236799856,1.03050086280896
"W0516","DEB",1,"DEB31","Native",1.02961941718116,0.193399641967109,0.675289563159939
"W0516","DEB",2,"DEB31","Native",0.993251773010283,0.199735460416195,0.744882854959136
"W0516","DEB",3,"DEB31","Native",1.04731899428056,0.228783145856426,0.663964413802886
"W0517","ARC",1,"ARC29-01","Invasive",0.717705031341611,-1.33661094097324,0.712536303995784
"W0517","ARC",2,"ARC29-01","Invasive",0.471383891714694,-1.03877649705744,0.703634168055195
"W0517","ARC",3,"ARC29-01","Invasive",0.782917179988653,-1.1093940642714,0.703634168055195
"W0518","MUS",1,"MUSs2-05","Native",0.466899643308145,0.502407053300395,0.53719890902088
"W0518","MUS",2,"MUSs2-05","Native",0.445956469462901,0.558759989851527,0.564529802737852
"W0518","MUS",3,"MUSs2-05","Native",0.445956469462901,0.568981543923064,0.521970188319056
"W0600","NAR",1,"NARc3-03","Native",1.17134086377572,0.803666779027801,1.03375165446607
"W0600","NAR",2,"NARc3-03","Native",1.17946438529721,0.812206540575933,1.05416052609727
"W0600","NAR",3,"NARc3-03","Native",1.25276296849537,0.795053461349684,0.907557051905401
