ExptDate,AssayID,InsectSpp,Site,PlantID,Replicate,Genotype,Range,InitialWeight,FinalWeight,TotalWeight,PropLeafEaten,PropTotalEaten,WL_own,WL_total,Ratio_Consumed
7/14/16,V056,Velvetbean,AZN,W0524,1,AZN14,Native,0.0571,0.009,0.0953,0.842381786,0.504721931,1,1,6.344444444
7/14/16,V057,Velvetbean,HIG,W0525,1,HIG27-02,Native,0.0868,0.0638,0.1301,0.264976959,0.176787087,1,1,1.090286475
7/14/16,V058,Velvetbean,FUR,W0528,1,FURc1-14,Native,0.0365,0.0173,0.0722,0.526027397,0.265927978,1,1,1.2588041
7/14/16,V059,Velvetbean,HUE,W0531,1,HUE14,Native,0.0575,0.0408,0.1059,0.290434783,0.15769594,0,0,0.090265962
7/14/16,V060,Velvetbean,RTM,W0532,1,RTM20,Native,0.0337,0.0203,0.0842,0.397626113,0.159144893,0,0,0.825118275
7/14/16,V061,Velvetbean,SAN,W0533,1,SAN18-02,Native,0.0915,0.0903,0.1721,0.013114754,0.00697269,1,1,1.009517489
7/14/16,V062,Velvetbean,ALT,W0535,1,ALT14,Native,0.0741,0.0248,0.1514,0.665317139,0.325627477,1,1,1.700746985
7/14/16,V063,Velvetbean,CVD,W0536,1,CVD15,Native,0.0872,0.0486,0.1364,0.44266055,0.282991202,1,1,1.721302151
7/14/16,V064,Velvetbean,DEB,W0045,1,DEB18,Native,0.0607,0.0507,0.0923,0.164744646,0.108342362,0,0,0.594830599
7/14/16,V065,Velvetbean,MUS,W0046,1,MUSs1-11,Native,0.0481,0.0281,0.0817,0.415800416,0.244798042,1,1,1.176823843
7/14/16,V066,Velvetbean,LDS,W0047,1,LDSc3-01,Native,0.0662,0.0596,0.1243,0.099697885,0.053097345,1,1,1.082061708
7/14/16,V067,Velvetbean,CAM,W0049,1,CAM16,Native,0.0311,0.0217,0.0538,0.302250804,0.17472119,1,1,1.149069206
7/14/16,V068,Velvetbean,SCA,W0053,1,SCAc2-18,Native,0.064,0.0501,0.132,0.2171875,0.10530303,0,0,0.886697194
7/14/16,V069,Velvetbean,LIS,W0054,1,LIS14,Native,0.0508,0.0254,0.0796,0.5,0.319095477,0,0,0.055555556
7/14/16,V070,Velvetbean,HUE,W0058,1,HUE15,Native,0.0676,0.058,0.0982,0.142011834,0.097759674,0,0,0.773202614
7/14/16,V071,Velvetbean,CRG,W0060,1,CRG15,Native,0.0452,0.0016,0.1187,0.96460177,0.367312553,1,1,24.8292517
