"Well","Sample","Time","Weight","Replicate","Hour","PCheck","Plate","fileName","Absorbance","Protein","Range","Genotype","Site"
"A03","W0513",0,0.0055,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1738,291674.581818182,"Native","CDCc2-06-02","CDC"
"A04","W0121",0,0.0562,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1854,30521.8256227758,"Native","DEB28-02","DEB"
"A05","W0121",0,0.0562,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1911,31493.3612099644,"Native","DEB28-02","DEB"
"A06","W0121",0,0.0562,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1909,31459.2722419929,"Native","DEB28-02","DEB"
"A07","W0122",0,0.0324,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.2004,57376.9012345679,"Native","LIS20","LIS"
"A08","W0122",0,0.0324,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1978,56608.2160493827,"Native","LIS20","LIS"
"A09","W0122",0,0.0324,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1978,56608.2160493827,"Native","LIS20","LIS"
"A10","W0514",0,0.0169,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.178,97304.2603550296,"Native","HIG13-01","HIG"
"A11","W0514",0,0.0169,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1811,99061.3550295858,"Native","HIG13-01","HIG"
"A12","W0514",0,0.0169,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1837,100535.047337278,"Native","HIG13-01","HIG"
"B01","W0123",0,0.0263,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.19,66896.9581749049,"Native","HIG11-02","HIG"
"B02","W0123",0,0.0263,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1883,66277.783269962,"Native","HIG11-02","HIG"
"B03","W0123",0,0.0263,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.189,66532.7376425856,"Native","HIG11-02","HIG"
"B04","W0515",0,0.0181,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1552,78786.7845303867,"Native","NARc3-05","NAR"
"B05","W0515",0,0.0181,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1571,79792.3149171271,"Native","NARc3-05","NAR"
"B06","W0515",0,0.0181,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1552,78786.7845303867,"Native","NARc3-05","NAR"
"B07","W0124",0,0.0234,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1642,64626.1452991453,"Native","NARc3-02","NAR"
"B08","W0124",0,0.0234,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1655,65158.311965812,"Native","NARc3-02","NAR"
"B09","W0124",0,0.0234,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1647,64830.8247863248,"Native","NARc3-02","NAR"
"B10","W0516",0,0.004,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1554,356989.15,"Native","DEB31","DEB"
"B11","W0516",0,0.004,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1582,363694.45,"Native","DEB31","DEB"
"B12","W0516",0,0.004,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1595,366807.625,"Native","DEB31","DEB"
"C01","W0127",0,0.0214,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.2463,107415.313084112,"Native","LDSc3-07","LDS"
"C02","W0127",0,0.0214,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.236,102804.859813084,"Native","LDSc3-07","LDS"
"C03","W0127",0,0.0214,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.2199,95598.2289719626,"Native","LDSc3-07","LDS"
"C04","W0128",0,0.0456,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1888,38331.0350877193,"Native","SAN20-05","SAN"
"C05","W0128",0,0.0456,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.184,37322.7192982456,"Native","SAN20-05","SAN"
"C06","W0128",0,0.0456,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1825,37007.6206140351,"Native","SAN20-05","SAN"
"C07","W0517",0,0.0181,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.154,78151.7127071823,"Invasive","ARC29-01","ARC"
"C08","W0517",0,0.0181,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1581,80321.5414364641,"Invasive","ARC29-01","ARC"
"C09","W0517",0,0.0181,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1541,78204.635359116,"Invasive","ARC29-01","ARC"
"C10","W0518",0,0.0121,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1662,126562.79338843,"Native","MUSs2-05","MUS"
"C11","W0518",0,0.0121,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1659,126325.297520661,"Native","MUSs2-05","MUS"
"C12","W0518",0,0.0121,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.1741,132816.851239669,"Native","MUSs2-05","MUS"
"D01","W0130",0,0.0258,1,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.2286,82524.7829457364,"Invasive","ARC26","ARC"
"D02","W0130",0,0.0258,2,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.2269,81893.6085271318,"Invasive","ARC26","ARC"
"D03","W0130",0,0.0258,3,"0hr","Plate2.csv","Plate2","Plate2_0hr_17Feb2017",0.2265,81745.0968992248,"Invasive","ARC26","ARC"
