"Sample","Site","Replicate","Genotype","Range","0hr","4hr","24hr"
"W0425","NAR",3,"NARc3-05","Native",12.4430981704334,11.649374866064,10.7248267761356
"W0426","DEB",1,"DEB32","Native",10.8439329929416,10.7554397607652,10.932179831486
"W0426","DEB",2,"DEB32","Native",10.8501215350083,10.739285579003,10.9486716177221
"W0426","DEB",3,"DEB32","Native",10.7665196619248,10.7594378583939,10.932179831486
"W0476","DEB",1,"DEB32-02","Native",11.3758831309405,10.0254507281101,10.7393789462517
"W0476","DEB",2,"DEB32-02","Native",11.3388091955442,10.0414221519889,10.7381349451091
"W0476","DEB",3,"DEB32-02","Native",11.3289687806836,10.0274611620993,10.7375123637291
"W0477","NAR",1,"NARc3-07","Native",NA,10.9398385862821,10.7286786256282
"W0477","NAR",2,"NARc3-07","Native",NA,10.9562948167435,10.7225236833235
"W0477","NAR",3,"NARc3-07","Native",NA,10.9305034160896,10.7299050810264
"W0478","SAN",1,"SAN31-01","Native",14.2695882481259,10.6929255625881,10.1284698630959
"W0478","SAN",2,"SAN31-01","Native",14.2711078391862,10.6902368752615,10.1333847362477
"W0478","SAN",3,"SAN31-01","Native",14.2423542293603,10.6868658183826,10.1260033384469
"W0479","CDC",1,"CDCc2-09","Native",11.4163128707624,10.692665897474,10.595757002253
"W0479","CDC",2,"CDCc2-09","Native",11.4163128707624,10.692665897474,10.5838500851434
"W0479","CDC",3,"CDCc2-09","Native",11.4440593711966,10.7104153252064,10.592199789757
"W0480","HIG",1,"HIG15-02","Native",12.0370615361883,11.4223735777646,10.3857134681548
"W0480","HIG",2,"HIG15-02","Native",11.9875243349065,11.488315547398,10.3827341111861
"W0480","HIG",3,"HIG15-02","Native",11.9744844073805,11.4634651606821,10.4010646337546
"W0513","CDC",1,"CDCc2-06-02","Native",12.5798048831555,10.5029379039164,11.593103422574
"W0513","CDC",2,"CDCc2-06-02","Native",12.5419427526935,10.4996116982928,11.5949060740071
"W0513","CDC",3,"CDCc2-06-02","Native",12.5833940139034,10.5187514712651,11.5906948209985
"W0514","HIG",1,"HIG13-01","Native",11.4855980530326,10.9535497982034,11.507621296105
"W0514","HIG",2,"HIG13-01","Native",11.5034946849302,10.9575639447912,11.5209409767527
"W0514","HIG",3,"HIG13-01","Native",11.5182616750426,10.9359665201602,11.5015077453806
"W0515","NAR",1,"NARc3-05","Native",11.2745005527711,10.9970830628558,11.4905121402212
"W0515","NAR",2,"NARc3-05","Native",11.2871824745397,11.0193101002679,11.5001408169162
"W0515","NAR",3,"NARc3-05","Native",11.2745005527711,11.0223584821574,11.4868773492479
"W0516","DEB",1,"DEB31","Native",12.7854606681431,10.5147776126207,11.1666030691457
"W0516","DEB",2,"DEB31","Native",12.8040693710291,10.5134404598695,11.1683992448211
"W0516","DEB",3,"DEB31","Native",12.8125928070437,10.5227631972199,11.1575734761118
"W0517","ARC",1,"ARC29-01","Invasive",11.2664072512845,10.6697457176371,10.7927320759097
"W0517","ARC",2,"ARC29-01","Invasive",11.2937931259765,10.7175204274141,10.7921390319577
"W0517","ARC",3,"ARC29-01","Invasive",11.26708420048,10.7277089117729,10.7693387156006
"W0518","MUS",1,"MUSs2-05","Native",11.7484938545025,11.3462330622832,11.1118310714581
"W0518","MUS",2,"MUSs2-05","Native",11.7466155851939,11.3656939460943,11.0912723630011
"W0518","MUS",3,"MUSs2-05","Native",11.7967263995407,11.363032097166,11.1222592337533
"W0600","NAR",1,"NARc3-03","Native",12.1624594508993,11.0226176610553,12.3440019709926
"W0600","NAR",2,"NARc3-03","Native",12.117764878408,11.0480595728412,12.3409738964702
"W0600","NAR",3,"NARc3-03","Native",12.0835947346115,11.1315245690747,12.3488278982612
