"Sample","Time","Weight","Hour","meanSubAbs","seSubAbs","meanAbs","seAbs","PIse","PI_g","PIse2","PIse1","PI","Range","Genotype","Site"
"W0163",4,0.0228,"4hr",0.1769,0.000838649708360612,0.235233333333333,0.015738311359369,13.6043192878918,1087.63477348607,0.0125081687525375,0.000504400839352328,24.7980728354825,"Native","LIS22","LIS"
"W0163",24,0.0228,"24hr",-0.0767333333333333,0.123046906141971,0.0392666666666667,0.00335675107474144,120114.647113776,12956.8403181128,9.27036562655354,0.0313807204255174,295.415959252971,"Native","LIS22","LIS"
"W0165",0,0.0382,"0hr",0.2157,0.0133814548287297,0.1891,0.0446578473880385,14.426866827185,-368.236424396632,0.0391782720865377,0.0027851921998362,-14.0666314119513,"Native","CDCc2-05","CDC"
"W0165",4,0.0382,"4hr",0.156433333333333,0.0343668606525401,0.235233333333333,0.015738311359369,44.8633865052405,876.928110442493,0.0511597084994832,0.00152721684805775,33.4986538189032,"Native","CDCc2-05","CDC"
"W0165",24,0.0382,"24hr",0.0407666666666667,0.00736032909892244,0.0392666666666667,0.00335675107474144,0.792260074473417,-100.00088889679,0.00792253032161642,0.00207394238196981,-3.82003395585739,"Native","CDCc2-05","CDC"
"W0166",0,0.0377,"0hr",0.178933333333333,0.0145954711392876,0.1891,0.0446578473880385,1.81264198300218,142.608596446194,0.0127106081132079,0.00236417310905666,5.37634408602151,"Native","HIG12-02","HIG"
"W0166",4,0.0377,"4hr",0.1783,0.00232450711621482,0.235233333333333,0.015738311359369,8.02783241658575,641.987243698433,0.0125046603267973,0.000516659179895835,24.2029190874309,"Native","HIG12-02","HIG"
"W0166",24,0.0377,"24hr",-0.0115333333333333,0.0482806149275025,0.0392666666666667,0.00335675107474144,5459.80705485071,3431.61317343157,1.59103219941045,0.0122981360295637,129.37181663837,"Native","HIG12-02","HIG"
"W0167",0,0.0282,"0hr",0.147366666666667,0.010889801549054,0.1891,0.0446578473880385,33.3066860023895,782.604673375064,0.0425587619592801,0.00192840141050316,22.0694517891768,"Invasive","ARC28","ARC"
"W0167",4,0.0282,"4hr",0.197933333333333,0.00312214313857931,0.235233333333333,0.015738311359369,5.15699321085402,562.290648488448,0.00917140134682494,0.000578396597895833,15.8565962873742,"Invasive","ARC28","ARC"
"W0167",24,0.0282,"24hr",-0.0756666666666667,0.0663107918148405,0.0392666666666667,0.00335675107474144,51547.9615523362,10379.4145624872,4.96636503359625,0.0169674536240614,292.699490662139,"Invasive","ARC28","ARC"
"W0168",0,0.0253,"0hr",0.1799,0.0101756244689618,0.1891,0.0446578473880385,2.16137657517705,192.29844719004,0.0112396985350644,0.00231024673150073,4.86515071390801,"Native","NARc3-03","NAR"
"W0168",4,0.0253,"4hr",0.2089,0.0202527364406229,0.235233333333333,0.015738311359369,5.18151909081976,442.472671711602,0.0117103708818361,0.00104607705459642,11.1945585943035,"Native","NARc3-03","NAR"
"W0168",24,0.0253,"24hr",-0.260433333333333,0.232457425014656,0.0392666666666667,0.00335675107474144,1369326.53432785,30167.6989873639,45.3904865233973,0.0594705740457813,763.242784380306,"Native","NARc3-03","NAR"
"W0419",0,0.0569,"0hr",0.148833333333333,0.00286201172448876,0.1891,0.0446578473880385,14.8609290110218,374.232830442478,0.0397103829545122,0.00186487584851778,21.293848052177,"Native","CDCc2-07-01","CDC"
"W0419",4,0.0569,"4hr",0.1782,0.00315013227235514,0.235233333333333,0.015738311359369,5.41588142576205,426.105976615722,0.0127101747522455,0.000524229709097582,24.2454300694346,"Native","CDCc2-07-01","CDC"
"W0419",24,0.0569,"24hr",0.0383,0.00030550504633039,0.0392666666666667,0.00335675107474144,0.089196008603251,43.2653718882501,0.00206160272546911,0.00083743724503538,2.46179966044143,"Native","CDCc2-07-01","CDC"
"W0420",0,0.0123,"0hr",0.178366666666667,0.0277987010088202,0.1891,0.0446578473880385,6.99059695570827,461.464159855772,0.015148732152662,0.00266890551248606,5.67600916622599,"Native","SAN30-01","SAN"
"W0420",4,0.0123,"4hr",0.1772,0.00236431808350738,0.235233333333333,0.015738311359369,25.4299296210308,2005.73495036353,0.0126786092132571,0.000513916974255917,24.6705398894714,"Native","SAN30-01","SAN"
"W0420",24,0.0123,"24hr",0.05785,0.00205,0.0392666666666667,0.00335675107474144,248.25708466217,-3847.6403439756,0.064521904977651,0.00136335074553673,-47.3259762308998,"Native","SAN30-01","SAN"
"W0421",0,0.0551,"0hr",0.187433333333333,0.0425939875778,0.1891,0.0446578473880385,0.0457981145088594,15.9957873494438,0.0028631359937685,0.00324851409852971,0.881367882954354,"Native","PI459130","Tur"
